break	daddy	purple	Edward	broke	Burt	work	thing
change	line	Sue	Shelly	Suzanne	careful	boob	fight
open	work	lady	purple	sticker	Gordon	already	ah
roll	careful	excuse	hear	Suzanne	hiya	wear	sing
stop	clay	Tigger	byebye	careful	bouncy	aeroplane	live
turn	wear	fog	sing	hear	show	seat	train
