boil	bowl	petrol	coal	oil	stand	Mike	path
break	pick	slide	wind	tip	pull	take	count
change	daughter	hand	hug	Amy	hurt	Alexander	pump
open	shut	strawberry	kitchen	settee	yuck	plum	none
roll	pin	square	Alexander	lunch	straw	kiss	plum
stop	talk	poke	aubergine	settee	home	mobile	come
turn	round	Mike	tail	banana	mountain	fly	run
