break	chin	cover	lady	twinkle	ow	zoo	Sukie_Cat
burn	broke	Charlie_Chalk	sharp	happy_birthday	night_night	hooray	twinkle
close	ladybird	e	f	lose	eskimo	d	granny
dry	leg	fix	thing	trouser	roll	take	mother
finish	all_gone	bless	fix	Tiny_Tears	ready	carry	Grandad
lose	shake	close	granny	enough	wait	well_done	cut
open	yep	pompom	goodbye	bore	friend	stream	brumm
roll	trouser	balloon	star	shoe	carry	Grandad	ring
stop	burn	Baa_baa_black_sheep	alright	Charlie_Chalk	broke	cover	gorgeous
turn	pompom	err	ringring	stream	zip	yep	mother
