break	dark	touch	black	cut	read	time
change	nappie	pound	merry	fourteen	around	ouch
close	bite	slip	outside	towel	twist	wet
dry	pond	finish	wash	whisper	twist	stool
finish	light	wet	count	outside	whisper	firework
kill	dog	sticker	whoosh	ply	pound	around
lose	person	pear	dark	angry	walk	guitar
open	read	take	bottom	mend	upstairs	zebra
roll	starfish	snow	nod	biup	color	aga
stop	outside	Weetabix	snow	read	carrot	stone
turn	knee	bib	Manchester	drop	nappie	outside
