break	full	chair	out_of	tidy	Sophie	care	birth	super	Billy
change	scratch	tear	switch	drop	flip	beautiful	Babar	melon	Thomas
close	comb	comfy	bean	corner	eye	boob	Ring_a_roses	lorry	Sophie
dry	call	short	comb	strong	christmas	switch	open	Babar	sing
finish	toy	fine	drip	parcel	busy	full	melon	comfy	ring
lose	tickle	drive	melon	dungaree	drip	super	catch	steady	hit
open	switch	Annie_Apple	dry	spaghetti	miss	park	stop	call	Babar
roll	spaghetti	tin	Thomas	shed	fly	Jill	shut	call	kitchen
stop	Annie_Apple	Babar	call	ad	coca_cola	christmas	err	whistle	Cruella_Deville
turn	round	super	island	mean	wait	miss	snooze	land	glue
