break	angry	babar	loll	twinkle	prize	giddyup	ouch
change	enjoy	dingding	burp	press	along	chin	dance
dry	borrow	juggle	write	button	dunk	pick	chin
finish	Carla	down	when	eensie	Jeff	downstairs	poo
lose	chin	circle	lamb	carpet	joke	helicopter	choc
open	wake	twinkle	good	enjoy	dunk	side	game
roll	enjoy	press	along	drink	wake	chin	hall
stop	night	Thomas	ma	Tank	swap	chin	Kelly
teach	Thomas	spider	day	river	Jeff	nose	Tank
turn	turkey	all	never	tickle	thunder	patter	row
