break	drop	pat	build	stop	color
dry	flop	whee	kite	err	asleep
finish	Jo	finger	banana	milk	day
lose	for	red	Lala	green	break
open	hold	banana	drop	read	face
roll	let	push	phone	backwards	shall
stop	color	pat	peel	later	ouch
turn	coat	light	press	carry	clothes
