break	cover	crash	big	number	five
close	curtain	your	dinosaur	e	f
finish	well_done	fall	cover	cry	hold
lose	stream	Mum	whee	thanks	bun
open	purple	hurt	wear	gorgeous	try
stop	Baa_baa_black_sheep	cheese	daddy	bring	pour
turn	throw	zip	sky	tip	get
