break	full	tidy	chair	cook	lick	Sophie	care	end
close	paper	eye	comfy	bean	corner	boob	Ring_a_roses	err
dry	all_gone	stop	christmas	which	blow	ad	call	Babar
finish	toy	shed	parcel	fine	candle	Duplo	tin	bike
lose	tickle	melon	steady	super	catch	dungaree	Jill	miss
open	blow	tuck	garden	shut	yesterday	celery	tip	gracious
stop	Babar	call	christmas	winter	slip	end	Thomas	strong
turn	super	snooze	knock	Sophie	talk	all_gone	Jill	broke
