break	drop	pat	build	color	spoil	stop
burn	mend	love	dream	phone	roll	pat
dry	flop	err	asleep	horn	rain	whoopsie
finish	Jo	milk	dream	Sugar	peel	craze
lose	spoil	click	Minnie_Mouse	her	color	pat
open	read	write	birth	peel	phone	dream
roll	phone	backwards	hospital	pocket	sofa	track
stop	Kathy	color	Kathy_Lewis	Postman_Pat	duck	kettle
turn	light	chop	clothes	take	we	paper
