break	drop	byebye	finish	leave	bubble
close	lid	purple	pink	dinner	tum
finish	drop	empty	watch	leave	break
lose	find	Adele	morning	never	wait
open	sweet	morning	happy	know	giraffe
roll	nice	strawberry	very	plastic	then
stop	empty	downstairs	farm	finish	watch
turn	day	has	later	pull	spin
