boil	bowl	petrol	coal	front	oil	Mike	path
break	slide	miss	hide	settee	rain	pick	count
change	daughter	hand	hug	rabbit	hurt	pump	poke
open	strawberry	shut	throw	work	bin	settee	lift
roll	pin	square	lunch	straw	kiss	w	plum
stop	count	drop	aubergine	settee	front	sandal	bun
turn	fence	round	run	mountain	banana	along	fly
