break	chin	lady	twinkle	cover	cry	ow	zoo
burn	broke	Charlie_Chalk	hooray	sharp	heavy	happy_birthday	night_night
close	ladybird	e	f	eskimo	d	granny	lose
dry	leg	treasure	throw	Poppy	ab	cloth	Wye_Bird
finish	all_gone	bless	ready	fix	Tiny_Tears	carry	Grandad
lose	shake	close	enough	well_done	throw	granny	Duplo
open	yep	pompom	goodbye	wear	bore	friend	oh
roll	sausage	trouser	balloon	shoe	star	frighten	carry
stop	burn	Baa_baa_black_sheep	Charlie_Chalk	broke	cover	gorgeous	alright
turn	zip	pompom	tuck	watch	yep	high	ringring
