break	real	double	hot	mini	sick	shush
close	lid	purple	pink	dinner	tum	large
finish	double	always	mini	drunk	wet	goldfish
lose	find	Adele	never	wait	drunk	large
open	manage	mad	space	pink	hot	lift
roll	nice	strawberry	then	plastic	boing	Tigger
stop	ask	whoops	ink	thank_you	share	glue
turn	run	much	pig	spin	fence	tractor
