break	night_night	tunnel	table	bumpbumpbumpbump	person	dirt	asleep
finish	police	cry	bread	quackquack	woofwoof	clean	cool
lose	kick	night_night	cry	dark	salami	Piglet	bucket
open	gate	pram	past	lose	salami	night_night	Thomas_the_tank
stop	Berthorse	kick	catch	woofwoof	ticktock	quackquack	bumble
turn	page	sun	night_night	pull	town	round	salami
