break	chin	lady	twinkle	zoo	child	Sukie_Cat	cry	Charlie_Chalk
burn	broke	Charlie_Chalk	sharp	happy_birthday	night_night	hooray	twinkle	zoo
close	ladybird	e	f	eskimo	d	cut	granny	lettuce
dry	take	miss	roll	trouser	cut	shuffle	stroke	broke
finish	all_gone	bless	Daisy	Mama	Tiny_Tears	hot	take	plum
lose	close	shake	granny	well_done	cut	wash	daddy	merry
open	porridge	shut	wear	Heidi	purple	Tiny_Tears	brumm	end
roll	trouser	balloon	star	take	fix	carry	Grandad	sticker
stop	burn	hot	Baa_baa_black_sheep	broke	Charlie_Chalk	aye	all_gone	gorgeous
turn	pompom	err	ringring	stream	twin	zip	brumm	wakie
