break	figure	peel	excuse	blow	help	hurt	throw
change	whoops_a_daisy	Tank	birth	dummy	chuck	achoo	parcel
close	hurt	open	figure	throw	dry	wind	peel
dry	Splendid	cupboard	trolley	kitchen	grass	Winnie_Pooh	seat
finish	Fireman_Sam	clever	stroke	help	Morris	excuse	dizzy
open	close	fix	pup	figure	by	box	door
roll	pick	foot	sky	ripe	climb	rub	tip
sink	body	turtle	achoo	magic	squirrel	Pooh	Ring_a_roses
stop	happy	altogether	was	wave	okay	king	moose
turn	triangle	clever	bus	finger	gree	birth	upstairs
