break	cry	rest	real	booboo	hungry	building
close	key	cob	dodo	trouser	gee	star
dry	tidy	exercise	small	pence	hurt	police
finish	after	am	wait	toast	real	exercise
lose	wheel	pot	dread	Asda	e	doo
stop	pita	jam	cry	lunch	giraffe	snake
