break	drop	pat	build	squash	spoil	stroke
burn	phone	love	skirt	over	rest	milk
dry	flop	err	horn	rain	whoopsie	uhoh
finish	all_gone	Jo	Sugar	craze	milk	blanket
lose	spoil	Minnie_Mouse	pat	line	burn	click
open	read	love	write	pat	shut	stop
roll	phone	backwards	sofa	beside	track	France
stop	Kathy	Kathy_Lewis	duck	kettle	sticker	sausage
turn	line	chop	wall	we	Pa	light
