break	kiss	set	flap	shoe	coal
close	front	shut	answer	next	gate
dry	shirt	Goggle	Syrup	lot	wipe
lose	seat	garden	make	flap	blue
stop	all_gone	wheel	thanks	round	stone
turn	round	yes	push	bus	tip
