break	cut	lick	button	reach	eat
close	Duplo	quick	crisp	Thomas	bag
finish	bowl	pink	miss	drop	Jill
lose	finish	green	pink	melon	miss
open	frog	super	chip	enough	break
turn	page	super	bubble	wrong	jump
