break	bone	cook	full	pink	super	reach	miss
close	small	comfy	paper	pretend	corner	curtain	bean
dry	small	stroke	tear	christmas	blow	ad	call
finish	shed	parcel	box	bread	money	miss	carpet
lose	tickle	real	dirty	catch	dungaree	super	whale
open	blow	tie	tuck	bubble	garden	celery	tip
turn	snooze	talk	birth	breakfast	shoulder	super	melon
