break	purple	Edward	broke	alright	Burt	work
change	fight	excuse	read	careful	course	Suzanne
open	work	lady	purple	fit	burger	sticker
roll	excuse	careful	hear	Suzanne	hiya	turn
stop	read	clay	away	careful	change	ah
turn	wear	fog	sing	hear	mum	show
