break	set	flap	shoe	last	lick	six
close	front	shut	answer	next	gate	farm
dry	shirt	eeaw	ply	Goggle	Syrup	lot
lose	seat	dark	leave	rub	dead	push
stop	all_gone	stone	ice	quackquack	Ann	Louise
turn	wind	yes	say	round	push	tip
