break	angry	ring	mean	babar	loll	rightie	twinkle
change	enjoy	roll	real	dingding	burp	press	along
dry	borrow	juggle	button	dunk	write	pick	chin
finish	Rory	Jeff	downstairs	maybe	Jamie	blue	eensie
lose	chin	circle	joke	lamb	carpet	swim	helicopter
open	wake	twinkle	enjoy	star	real	piglet	blow
roll	change	press	joke	burp	toilet	dingding	swim
stop	home	Thomas	ma	Tank	chin	night	swap
teach	picture	Thomas	spider	day	river	Jeff	nose
turn	never	patter	turkey	tickle	old	noise	babar
