break	beep	orange	byebye	purple	mieow
finish	hear	lemon	frog	grrr	kick
lose	wave	cry	kick	sock	Piglet
open	night_night	sun	page	pram	helicopter
stop	kick	hear	frog	catch	finish
turn	number	stair	page	around	town
