break	miss	robot	pick	Corn_Pops	tell	daddy
change	him	make	excuse	careful	bye	course
open	shut	they	door	burger	penguin	hard
roll	excuse	careful	hear	read	turn	Suzanne
stop	too	hear	Suzanne	careful	excuse	sheep
turn	read	miss	hear	find	fog	course
