break	lose	stop	pat	mend
dry	teddy	flop	whee	kite
finish	banana	blow	see	heavy
lose	for	break	of	tiny
open	hold	wheel	blow	drop
roll	same	wall	press	line
stop	mend	color	pat	paint
turn	press	head	wall	line
