box	bag	way	pile	wasp	hat	window	ladybird
floor	chicken	boat	giraffe	window	chair	slipper	hat
snap	tower	keep	gentle	game	crocodile	dog	wave
oy	whee	soon	hm	www	pardon	whoops	fine
