child	pear	handle	moment	cat	chimney	in_case	either
ow	no	dear	thank_you	wow	hooray	brilliant	gosh
pumpy	pumpying	whatever	accurate	house	either	read	small
all	line	write	wedge	time	high	father	lunch
and	stripe	Jolly_tall	as_well_as	white	big	cut	clean
blow	phone	Mister_giddy	tuck	anywhere	push	Sunday	guess
down	ectoplasm	skin	finger	out_of	ring	interrupt	write
dig	treasure	toe	bash	basket	finger	brush	hook
lose	comb	house	chimney	tiny	giddy	polite	surprise
