book	bath	London	fire	car	bed	lounge	horse
actual	s	picture	thought	caterpillar	all_gone	say	sure
yes	great	dear	pardon	yeah	mhm	okay	whoops
up	bouncy	clown	stick	keep	those	lift	Nicki
ready	such	love	house	wiggle	track	a_lot_of	goat
out_of	field	house	bottom	such	ready	leave	top
red	check	box	curtain	shark	sparkle	yellow	though
