party	pick	tongue	lot	Grandpa	listen	teddy	bruise
boat	envelope	sand	pool	row	fridge	bus	track
park	should	yours	place	rain	elephant	feather	nurse
Thomas	I_Spy	t	ball	helicopter	chip	tat	telephone
www	pardon	mhm	whoops	hello	uhoh	okay	hm
seesaw	chair	floor	beach	pool	bus	Jess	scream
mardy	picnic	silly	truck	m	tat	crayon	break
Kirsten	sheep	Kevin	Bethany	tail	week	slipper	balloon
book	house	paper	a_lot_of	chalk	hippopotamus	wee	bridge
