jump	their	plant	dinosaur	Granny_Smith	ease	man	police
smell	ill	craze	valuable	doughnut	small	sad	must
bed	always	Paris	Lanzarote	London	somewhere	write	mend
every	purple	ah	wind	ninety	car	together	other
London	Lanzarote	Paris	Asda	cry	wait	hide	write
tonight	let	run	way	Anne	show	Lanzarote	Asda
