okay	care	pardon	alright	hm	whoops	giddyup	mieow
thank_you	yeah	mhm	hm	www	pardon	shush	ow
cup	Sukie_cat	book	whale	beak	tea	eye	quick
turn	stand	pick	alone	mix	tie	end	stroke
lamb	long	man	cry	tomato	four	three	rain
paw	finger	foot	cross	beak	pajamas	lunch	blow
