wait	sticky	Reverend_Timms	hm	uhhum	Plod	mm	door
by	pay	help	don't	chase	through	bring	give
^^	push	dear	oh	does	well	food	mum
hang	patience	man	wait	fence	carrot	okay	sticky
actual	bet	Sue	sick	obvious	don't	suppose	point
