marry	chicken	Kings	cold	both	run	together	Bethlehem
else	drawing	stay	Billy_the_bully	Lucky	good_night	ask	got
write	busy	duck	cup	Clarabel	footprint	bump	mummie
whistle	body	flower	web	tum	knee	antler	wakie
too	mess	kiss	bus	lorry	wet	bridge	warm
over	teach	damp	out_of	Lucky	down	round	press
lorry	bus	mess	bowl	muddle	cuddle	mummie	kiss
muddle	cut	bus	soot	bowl	peep	umbrella	lorry
tail	shower	body	manage	whistle	wee	web	ever
