ear	sheep	minute	whale	elephant	wait	lot
lady	nobody	line	around	basket	lay	fringe
hm	yeah	www	whoops	pardon	ow	mhm
before	miss	sorry	drawing	talk	fine	work
right	dear	yes	alright	oh	near	girl
