hide	drop	sing	hit	hay	watch	color	fetch
push	sand	cherry	tub	food	mouth	Nanny	saucepan
with	or	bury	until	leave	jump	police	into
yes	whee	dear	thank_you	no	oh	yeah	www
Nanny	finger	juice	pocket	saucepan	mouth	penny	cock_a_doodle_doo
house	sand	pocket	morning	lot	toy	plate	box
heavy	tall	worry	high	hard	ease	hot	sticky
further	ease	worry	cold	difficult	full	stick	snake
more	egg	grape	bush	worry	ease	around	yes
