egg	chip	white	belly	banana	paper	mouth	knee
sorry	brumm	mine	wait	ah	mm	listen	bye
ah	listen	mine	wait	bye	choochoo	whoops	brumm
soon	Danny	duck	through	again	from	yesterday	pretend
thumb	elbow	knee	handbag	mouth	belly	pen	paper
t	scrub	sore	sorry	wait	boy	use	bread
