a	yeah	fun	wait	Amy	Grandpa	run
the	its	those	door	as_well	whee	whose
biscuit	tea	spade	doll	giraffe	egg	tiger
car	house	tie	boat	bus	finger	tree
too	lid	sock	foot	shoe	knee	pajamas
