or	number	belong	snack	so_that	inside	three	problem
pull	manage	tail	arm	reach	hear	win	hair
face	hair	sweater	clothes	toe	sand	trouser	instead
bit	bad	few	sort	small	dome	cycle	tip
tiger	bus	museum	truck	sail	carriage	ship	green
newspaper	slope	mirror	trouble	ground	wave	straight	push
