bolt	four	red	blue	gate	green	bye	egg
giraffe	monkey	pear	concrete	change	while	water	zoo
sticky	dirt	much	hot	good	dirty	strong	neenaw
Grandpa	yesterday	biup	Granddad	who	aubergine	nut	xxx
must	dirty	sweet	real	nice	strong	bad	much
