show	tell	rescue	kick	Spencer	let	drive	count
blow	click	anywhere	brother	course	snooze	mess	decorate
shut	watch	drawing	Etchasketch	boot	doll	mouth	park
front	sky	roof	thumb	lock	bake	chocolate	door
real	poor	white	horrid	Birmingham	pretty	Nick	in_case
thank_you	great	no	yeah	oh	pardon	help	mhm
good	label	yet	a_lot_of	fun	read	white	comfy
this	spider	ago	rush	Kathy_Lewis	apparent	snow	though
lid	Dodgem	freeze	Rabbit	cat	basket	paper	Farthing_Wood
