love	hello	clever	building	shy	hiss	anyway	careful
tunnel	pool	funnel	Duplo	fat	small	garage	doll
tractor	tub	Duplo	scare	air	picture	plug	end
always	hide	allow	hiss	seem	hedge	cold	shy
of	tip	behind	out_of	big	kite	motor	pasta
hm	www	mhm	uhhum	pardon	whoops	choo	whee
drink	vest	cuddle	shoe	head	blow	castle	sing
