pot	end	fasten	stair	latch	frock	lift	muddle
stick	move	proper	muddle	hold	count	toy	shoulder
my	his	asleep	Toby_tall	shush	tickle	Nana	Joe
out_of	board	stair	friend	dress	cupboard	block	lid
cut	Peter_Pointer	brick	meat	cushion	eh	start	matter
plane	clock	temper	milk	tomato	pineapple	game	clown
friend	French_Fries	meat	ear	mouth	shoulder	bun	juice
