hard	Joanna	early	pleasant	much	far	together	juice
break	together	hello	lettuce	hey	week	dining	hooray
dark	small	dead	tiny	scare	cow	stiff	early
use	away	stamp	ask	lion	bet	cook	keep
stick	room	Old_Bear	already	Duck	Asda	hospital	post
fall	room	live	click	hospital	peep	wobble	drop
some	instead	someone	Joey	tonight	baby	Leslie	Chris
Daddy	yours	Little_Bear	Chris	Father_Christmas	later	Old_Bear	real
