land	got	bye	backwards	poor	stick	sleep
need	build	could	story	bear	think	blue
him	finish	off	quick	scribble	face	black
somebody	yes	er	Terence	uhoh	Henry	brumm
take	leave	fasten	sort	see	put	farm
